Województwo,Kwartał,Rok,Ludność,Ludność_100tys
WIELKOPOLSKIE,3,2022,3492549,34.92549
WIELKOPOLSKIE,4,2022,3493577,34.93577
WIELKOPOLSKIE,1,2023,3481357,34.81357
WIELKOPOLSKIE,2,2023,3490364,34.90364
WIELKOPOLSKIE,3,2023,3486946,34.86946
WIELKOPOLSKIE,4,2023,3487973,34.87973
WIELKOPOLSKIE,1,2024,3473385,34.73385
WIELKOPOLSKIE,2,2024,3484177,34.84177
WIELKOPOLSKIE,3,2024,3478962,34.78962
WIELKOPOLSKIE,4,2024,3479986,34.79986
ZACHODNIOPOMORSKIE,1,2016,1709047,17.09047
ZACHODNIOPOMORSKIE,2,2016,1708889,17.08889
ZACHODNIOPOMORSKIE,3,2016,1709139,17.09139
ZACHODNIOPOMORSKIE,4,2016,1708174,17.08174
ZACHODNIOPOMORSKIE,1,2017,1706405,17.06405
ZACHODNIOPOMORSKIE,2,2017,1706579,17.06579
ZACHODNIOPOMORSKIE,3,2017,1706496,17.06496
ZACHODNIOPOMORSKIE,4,2017,1705533,17.05533
ZACHODNIOPOMORSKIE,1,2018,1701899,17.01899
ZACHODNIOPOMORSKIE,2,2018,1703009,17.03009
ZACHODNIOPOMORSKIE,3,2018,1701991,17.01991
ZACHODNIOPOMORSKIE,4,2018,1701030,17.0103
ZACHODNIOPOMORSKIE,1,2019,1697060,16.9706
ZACHODNIOPOMORSKIE,2,2019,1698344,16.98344
ZACHODNIOPOMORSKIE,3,2019,1697151,16.97151
ZACHODNIOPOMORSKIE,4,2019,1696193,16.96193
ZACHODNIOPOMORSKIE,1,2020,1661922,16.61922
ZACHODNIOPOMORSKIE,2,2020,1666245,16.66245
ZACHODNIOPOMORSKIE,3,2020,1662011,16.62011
ZACHODNIOPOMORSKIE,4,2020,1661073,16.61073
ZACHODNIOPOMORSKIE,1,2021,1650864,16.50864
ZACHODNIOPOMORSKIE,2,2021,1655104,16.55104
ZACHODNIOPOMORSKIE,3,2021,1650953,16.50953
ZACHODNIOPOMORSKIE,4,2021,1650021,16.50021
ZACHODNIOPOMORSKIE,1,2022,1641460,16.4146
ZACHODNIOPOMORSKIE,2,2022,1645058,16.45058
ZACHODNIOPOMORSKIE,3,2022,1641548,16.41548
ZACHODNIOPOMORSKIE,4,2022,1640622,16.40622
ZACHODNIOPOMORSKIE,1,2023,1632618,16.32618
ZACHODNIOPOMORSKIE,2,2023,1636293,16.36293
ZACHODNIOPOMORSKIE,3,2023,1632705,16.32705
ZACHODNIOPOMORSKIE,4,2023,1631784,16.31784
ZACHODNIOPOMORSKIE,1,2024,1623589,16.23589
ZACHODNIOPOMORSKIE,2,2024,1626876,16.26876
ZACHODNIOPOMORSKIE,3,2024,1623676,16.23676
ZACHODNIOPOMORSKIE,4,2024,1622760,16.2276
POLSKA,1,2016,38422715,384.22715
POLSKA,2,2016,38426809,384.26809
POLSKA,3,2016,38441515,384.41515
POLSKA,4,2016,38432992,384.32992
POLSKA,1,2017,38423092,384.23092
POLSKA,2,2017,38422346,384.22346
POLSKA,3,2017,38442021,384.42021
POLSKA,4,2017,38433558,384.33558
POLSKA,1,2018,38400478,384.00478
POLSKA,2,2018,38413139,384.13139
POLSKA,3,2018,38419542,384.19542
POLSKA,4,2018,38411148,384.11148
POLSKA,1,2019,38371685,383.71685
POLSKA,2,2019,38386476,383.86476
POLSKA,3,2019,38390892,383.90892
POLSKA,4,2019,38382576,383.82576
POLSKA,1,2020,38076750,380.7675
POLSKA,2,2020,38177724,381.77724
POLSKA,3,2020,38096500,380.965
POLSKA,4,2020,38088564,380.88564
POLSKA,1,2021,37895714,378.95714
POLSKA,2,2021,37989517,379.89517
POLSKA,3,2021,37915534,379.15534
POLSKA,4,2021,37907704,379.07704
POLSKA,1,2022,37754194,377.54194
POLSKA,2,2022,37827355,378.27355
POLSKA,3,2022,37774070,377.7407
POLSKA,4,2022,37766327,377.66327
POLSKA,1,2023,37624226,376.24226
POLSKA,2,2023,37698294,376.98294
POLSKA,3,2023,37644163,376.44163
POLSKA,4,2023,37636508,376.36508
POLSKA,1,2024,37476660,374.7666
POLSKA,2,2024,37563071,375.63071
POLSKA,3,2024,37496653,374.96653
POLSKA,4,2024,37489087,374.89087
PODLASKIE,0,2016,1186625,11.86625
PODLASKIE,0,2017,1184548,11.84548
PODLASKIE,0,2018,1181533,11.81533
PODLASKIE,0,2019,1178353,11.78353
PODLASKIE,0,2020,1156591,11.56591
PODLASKIE,0,2021,1148720,11.4872
PODLASKIE,0,2022,1143355,11.43355
PODLASKIE,0,2023,1138216,11.38216
PODLASKIE,0,2024,1132641,11.32641
PODKARPACKIE,0,2016,2127656,21.27656
PODKARPACKIE,0,2017,2129138,21.29138
PODKARPACKIE,0,2018,2129015,21.29015
PODKARPACKIE,0,2019,2127164,21.27164
PODKARPACKIE,0,2020,2096166,20.96166
PODKARPACKIE,0,2021,2085932,20.85932
PODKARPACKIE,0,2022,2079098,20.79098
PODKARPACKIE,0,2023,2071676,20.71676
PODKARPACKIE,0,2024,2062997,20.62997
OPOLSKIE,0,2016,993036,9.93036
OPOLSKIE,0,2017,990069,9.90069
OPOLSKIE,0,2018,986506,9.86506
OPOLSKIE,0,2019,982626,9.82626
OPOLSKIE,0,2020,955844,9.55844
OPOLSKIE,0,2021,948583,9.48583
OPOLSKIE,0,2022,942441,9.42441
OPOLSKIE,0,2023,936725,9.36725
OPOLSKIE,0,2024,930296,9.30296
MAZOWIECKIE,0,2016,5365898,53.65898
MAZOWIECKIE,0,2017,5384617,53.84617
MAZOWIECKIE,0,2018,5403412,54.03412
MAZOWIECKIE,0,2019,5423168,54.23168
MAZOWIECKIE,0,2020,5517616,55.17616
MAZOWIECKIE,0,2021,5512794,55.12794
MAZOWIECKIE,0,2022,5510612,55.10612
MAZOWIECKIE,0,2023,5510527,55.10527
MAZOWIECKIE,0,2024,5508322,55.08322
MAŁOPOLSKIE,0,2016,3382260,33.8226
MAŁOPOLSKIE,0,2017,3391380,33.9138
MAŁOPOLSKIE,0,2018,3400577,34.00577
MAŁOPOLSKIE,0,2019,3410901,34.10901
MAŁOPOLSKIE,0,2020,3432692,34.32692
MAŁOPOLSKIE,0,2021,3430370,34.3037
MAŁOPOLSKIE,0,2022,3429014,34.29014
MAŁOPOLSKIE,0,2023,3429632,34.29632
MAŁOPOLSKIE,0,2024,3429084,34.29084
ŁÓDZKIE,0,2016,2485323,24.85323
ŁÓDZKIE,0,2017,2476315,24.76315
ŁÓDZKIE,0,2018,2466322,24.66322
ŁÓDZKIE,0,2019,2454779,24.54779
ŁÓDZKIE,0,2020,2415816,24.15816
ŁÓDZKIE,0,2021,2394946,23.94946
ŁÓDZKIE,0,2022,2378483,23.78483
ŁÓDZKIE,0,2023,2362519,23.62519
ŁÓDZKIE,0,2024,2345924,23.45924
LUBUSKIE,0,2016,1017376,10.17376
LUBUSKIE,0,2017,1016832,10.16832
LUBUSKIE,0,2018,1014548,10.14548
LUBUSKIE,0,2019,1011592,10.11592
LUBUSKIE,0,2020,993329,9.93329
LUBUSKIE,0,2021,985487,9.85487
LUBUSKIE,0,2022,979976,9.79976
LUBUSKIE,0,2023,975023,9.75023
LUBUSKIE,0,2024,969819,9.69819
LUBELSKIE,0,2016,2133340,21.3334
LUBELSKIE,0,2017,2126317,21.26317
LUBELSKIE,0,2018,2117619,21.17619
LUBELSKIE,0,2019,2108270,21.0827
LUBELSKIE,0,2020,2056908,20.56908
LUBELSKIE,0,2021,2038299,20.38299
LUBELSKIE,0,2022,2024637,20.24637
LUBELSKIE,0,2023,2011047,20.11047
LUBELSKIE,0,2024,1996440,19.9644
KUJAWSKO-POMORSKIE,0,2016,2083927,20.83927
KUJAWSKO-POMORSKIE,0,2017,2082944,20.82944
KUJAWSKO-POMORSKIE,0,2018,2077775,20.77775
KUJAWSKO-POMORSKIE,0,2019,2072373,20.72373
KUJAWSKO-POMORSKIE,0,2020,2031550,20.3155
KUJAWSKO-POMORSKIE,0,2021,2017720,20.1772
KUJAWSKO-POMORSKIE,0,2022,2006876,20.06876
KUJAWSKO-POMORSKIE,0,2023,1996003,19.96003
KUJAWSKO-POMORSKIE,0,2024,1984479,19.84479
DOLNOŚLĄSKIE,0,2016,2903710,29.0371
DOLNOŚLĄSKIE,0,2017,2902547,29.02547
DOLNOŚLĄSKIE,0,2018,2901225,29.01225
DOLNOŚLĄSKIE,0,2019,2900163,29.00163
DOLNOŚLĄSKIE,0,2020,2908378,29.08378
DOLNOŚLĄSKIE,0,2021,2897737,28.97737
DOLNOŚLĄSKIE,0,2022,2888033,28.88033
DOLNOŚLĄSKIE,0,2023,2879271,28.79271
DOLNOŚLĄSKIE,0,2024,2868242,28.68242
POMORSKIE,0,2016,2315611,23.15611
POMORSKIE,0,2017,2324251,23.24251
POMORSKIE,0,2018,2333523,23.33523
POMORSKIE,0,2019,2343928,23.43928
POMORSKIE,0,2020,2358256,23.58256
POMORSKIE,0,2021,2358726,23.58726
POMORSKIE,0,2022,2358307,23.58307
POMORSKIE,0,2023,2359573,23.59573
POMORSKIE,0,2024,2359493,23.59493
ŚLĄSKIE,0,2016,4559164,45.59164
ŚLĄSKIE,0,2017,4548180,45.4818
ŚLĄSKIE,0,2018,4533565,45.33565
ŚLĄSKIE,0,2019,4517635,45.17635
ŚLĄSKIE,0,2020,4412097,44.12097
ŚLĄSKIE,0,2021,4375947,43.75947
ŚLĄSKIE,0,2022,4346702,43.46702
ŚLĄSKIE,0,2023,4320130,43.2013
ŚLĄSKIE,0,2024,4291441,42.91441
ŚWIĘTOKRZYSKIE,0,2016,1252900,12.529
ŚWIĘTOKRZYSKIE,0,2017,1247732,12.47732
ŚWIĘTOKRZYSKIE,0,2018,1241546,12.41546
ŚWIĘTOKRZYSKIE,0,2019,1233961,12.33961
ŚWIĘTOKRZYSKIE,0,2020,1199584,11.99584
ŚWIĘTOKRZYSKIE,0,2021,1187693,11.87693
ŚWIĘTOKRZYSKIE,0,2022,1178164,11.78164
ŚWIĘTOKRZYSKIE,0,2023,1168499,11.68499
ŚWIĘTOKRZYSKIE,0,2024,1157991,11.57991
WARMIŃSKO-MAZURSKIE,0,2016,1436367,14.36367
WARMIŃSKO-MAZURSKIE,0,2017,1433945,14.33945
WARMIŃSKO-MAZURSKIE,0,2018,1428983,14.28983
WARMIŃSKO-MAZURSKIE,0,2019,1422737,14.22737
WARMIŃSKO-MAZURSKIE,0,2020,1385622,13.85622
WARMIŃSKO-MAZURSKIE,0,2021,1374699,13.74699
WARMIŃSKO-MAZURSKIE,0,2022,1366430,13.6643
WARMIŃSKO-MAZURSKIE,0,2023,1357910,13.5791
WARMIŃSKO-MAZURSKIE,0,2024,1349172,13.49172
WIELKOPOLSKIE,0,2016,3481625,34.81625
WIELKOPOLSKIE,0,2017,3489210,34.8921
WIELKOPOLSKIE,0,2018,3493969,34.93969
WIELKOPOLSKIE,0,2019,3498733,34.98733
WIELKOPOLSKIE,0,2020,3507042,35.07042
WIELKOPOLSKIE,0,2021,3500030,35.0003
WIELKOPOLSKIE,0,2022,3493577,34.93577
WIELKOPOLSKIE,0,2023,3487973,34.87973
WIELKOPOLSKIE,0,2024,3479986,34.79986
ZACHODNIOPOMORSKIE,0,2016,1708174,17.08174
ZACHODNIOPOMORSKIE,0,2017,1705533,17.05533
ZACHODNIOPOMORSKIE,0,2018,1701030,17.0103
ZACHODNIOPOMORSKIE,0,2019,1696193,16.96193
ZACHODNIOPOMORSKIE,0,2020,1661073,16.61073
ZACHODNIOPOMORSKIE,0,2021,1650021,16.50021
ZACHODNIOPOMORSKIE,0,2022,1640622,16.40622
ZACHODNIOPOMORSKIE,0,2023,1631784,16.31784
ZACHODNIOPOMORSKIE,0,2024,1622760,16.2276
POLSKA,0,2016,38432992,384.32992
POLSKA,0,2017,38433558,384.33558
POLSKA,0,2018,38411148,384.11148
POLSKA,0,2019,38382576,383.82576
POLSKA,0,2020,38088564,380.88564
POLSKA,0,2021,37907704,379.07704
POLSKA,0,2022,37766327,377.66327
POLSKA,0,2023,37636508,376.36508
POLSKA,0,2024,37489087,374.89087
