Województwo,Kwartał,Rok,Ludność,Ludność_100tys
MAZOWIECKIE,1,2019,5408313,54.08313
MAZOWIECKIE,2,2019,5411446,54.11446
MAZOWIECKIE,3,2019,5420086,54.20086
MAZOWIECKIE,4,2019,5423168,54.23168
MAZOWIECKIE,1,2020,5502502,55.02502
MAZOWIECKIE,2,2020,5520619,55.20619
MAZOWIECKIE,3,2020,5514480,55.1448
MAZOWIECKIE,4,2020,5517616,55.17616
MAZOWIECKIE,1,2021,5497693,54.97693
MAZOWIECKIE,2,2021,5513036,55.13036
MAZOWIECKIE,3,2021,5509661,55.09661
MAZOWIECKIE,4,2021,5512794,55.12794
MAZOWIECKIE,1,2022,5495517,54.95517
MAZOWIECKIE,2,2022,5511491,55.11491
MAZOWIECKIE,3,2022,5507480,55.0748
MAZOWIECKIE,4,2022,5510612,55.10612
MAZOWIECKIE,1,2023,5495432,54.95432
MAZOWIECKIE,2,2023,5509351,55.09351
MAZOWIECKIE,3,2023,5507395,55.07395
MAZOWIECKIE,4,2023,5510527,55.10527
MAZOWIECKIE,1,2024,5493233,54.93233
MAZOWIECKIE,2,2024,5510618,55.10618
MAZOWIECKIE,3,2024,5505191,55.05191
MAZOWIECKIE,4,2024,5508322,55.08322
MAŁOPOLSKIE,1,2016,3374574,33.74574
MAŁOPOLSKIE,2,2016,3376329,33.76329
MAŁOPOLSKIE,3,2016,3381177,33.81177
MAŁOPOLSKIE,4,2016,3382260,33.8226
MAŁOPOLSKIE,1,2017,3383673,33.83673
MAŁOPOLSKIE,2,2017,3386162,33.86162
MAŁOPOLSKIE,3,2017,3390294,33.90294
MAŁOPOLSKIE,4,2017,3391380,33.9138
MAŁOPOLSKIE,1,2018,3392849,33.92849
MAŁOPOLSKIE,2,2018,3395663,33.95663
MAŁOPOLSKIE,3,2018,3399488,33.99488
MAŁOPOLSKIE,4,2018,3400577,34.00577
MAŁOPOLSKIE,1,2019,3403150,34.0315
MAŁOPOLSKIE,2,2019,3404863,34.04863
MAŁOPOLSKIE,3,2019,3409808,34.09808
MAŁOPOLSKIE,4,2019,3410901,34.10901
MAŁOPOLSKIE,1,2020,3424891,34.24891
MAŁOPOLSKIE,2,2020,3436182,34.36182
MAŁOPOLSKIE,3,2020,3431592,34.31592
MAŁOPOLSKIE,4,2020,3432692,34.32692
MAŁOPOLSKIE,1,2021,3422574,34.22574
MAŁOPOLSKIE,2,2021,3431148,34.31148
MAŁOPOLSKIE,3,2021,3429271,34.29271
MAŁOPOLSKIE,4,2021,3430370,34.3037
MAŁOPOLSKIE,1,2022,3421221,34.21221
MAŁOPOLSKIE,2,2022,3428929,34.28929
MAŁOPOLSKIE,3,2022,3427916,34.27916
MAŁOPOLSKIE,4,2022,3429014,34.29014
MAŁOPOLSKIE,1,2023,3421838,34.21838
MAŁOPOLSKIE,2,2023,3428728,34.28728
MAŁOPOLSKIE,3,2023,3428533,34.28533
MAŁOPOLSKIE,4,2023,3429632,34.29632
MAŁOPOLSKIE,1,2024,3421291,34.21291
MAŁOPOLSKIE,2,2024,3429685,34.29685
MAŁOPOLSKIE,3,2024,3427986,34.27986
MAŁOPOLSKIE,4,2024,3429084,34.29084
ŁÓDZKIE,1,2016,2491154,24.91154
ŁÓDZKIE,2,2016,2488417,24.88417
ŁÓDZKIE,3,2016,2488031,24.88031
ŁÓDZKIE,4,2016,2485323,24.85323
ŁÓDZKIE,1,2017,2482125,24.82125
ŁÓDZKIE,2,2017,2479962,24.79962
ŁÓDZKIE,3,2017,2479013,24.79013
ŁÓDZKIE,4,2017,2476315,24.76315
ŁÓDZKIE,1,2018,2472108,24.72108
ŁÓDZKIE,2,2018,2470610,24.7061
ŁÓDZKIE,3,2018,2469009,24.69009
ŁÓDZKIE,4,2018,2466322,24.66322
ŁÓDZKIE,1,2019,2460538,24.60538
ŁÓDZKIE,2,2019,2460170,24.6017
ŁÓDZKIE,3,2019,2457454,24.57454
ŁÓDZKIE,4,2019,2454779,24.54779
ŁÓDZKIE,1,2020,2421484,24.21484
ŁÓDZKIE,2,2020,2426559,24.26559
ŁÓDZKIE,3,2020,2418448,24.18448
ŁÓDZKIE,4,2020,2415816,24.15816
ŁÓDZKIE,1,2021,2400565,24.00565
ŁÓDZKIE,2,2021,2404850,24.0485
ŁÓDZKIE,3,2021,2397556,23.97556
ŁÓDZKIE,4,2021,2394946,23.94946
ŁÓDZKIE,1,2022,2384063,23.84063
ŁÓDZKIE,2,2022,2385620,23.8562
ŁÓDZKIE,3,2022,2381075,23.81075
ŁÓDZKIE,4,2022,2378483,23.78483
ŁÓDZKIE,1,2023,2368062,23.68062
ŁÓDZKIE,2,2023,2370370,23.7037
ŁÓDZKIE,3,2023,2365093,23.65093
ŁÓDZKIE,4,2023,2362519,23.62519
ŁÓDZKIE,1,2024,2351428,23.51428
ŁÓDZKIE,2,2024,2354135,23.54135
ŁÓDZKIE,3,2024,2348480,23.4848
ŁÓDZKIE,4,2024,2345924,23.45924
LUBUSKIE,1,2016,1017383,10.17383
LUBUSKIE,2,2016,1017450,10.1745
LUBUSKIE,3,2016,1017688,10.17688
LUBUSKIE,4,2016,1017376,10.17376
LUBUSKIE,1,2017,1016839,10.16839
LUBUSKIE,2,2017,1016652,10.16652
LUBUSKIE,3,2017,1017143,10.17143
LUBUSKIE,4,2017,1016832,10.16832
LUBUSKIE,1,2018,1014555,10.14555
LUBUSKIE,2,2018,1015440,10.1544
LUBUSKIE,3,2018,1014859,10.14859
LUBUSKIE,4,2018,1014548,10.14548
