Województwo,Rok,Kwartał,saldo migracji wewnętrznych
DOLNOŚLĄSKIE,2017,0,2595.0
KUJAWSKO-POMORSKIE,2017,0,-1515.0
LUBELSKIE,2017,0,-5072.0
LUBUSKIE,2017,0,-788.0
ŁÓDZKIE,2017,0,-1961.0
MAŁOPOLSKIE,2017,0,3760.0
MAZOWIECKIE,2017,0,12029.0
OPOLSKIE,2017,0,-745.0
PODKARPACKIE,2017,0,-2140.0
PODLASKIE,2017,0,-1866.0
POMORSKIE,2017,0,3625.0
ŚLĄSKIE,2017,0,-3260.0
ŚWIĘTOKRZYSKIE,2017,0,-2426.0
WIELKOPOLSKIE,2017,0,1015.0
WARMIŃSKO-MAZURSKIE,2017,0,-2443.0
ZACHODNIOPOMORSKIE,2018,0,-943.0
WIELKOPOLSKIE,2018,0,1121.0
WARMIŃSKO-MAZURSKIE,2018,0,-3397.0
ŚWIĘTOKRZYSKIE,2018,0,-2628.0
POLSKA,2018,0,0.0
DOLNOŚLĄSKIE,2018,0,3200.0
KUJAWSKO-POMORSKIE,2018,0,-2541.0
LUBELSKIE,2018,0,-5804.0
LUBUSKIE,2018,0,-971.0
ŁÓDZKIE,2018,0,-2163.0
MAZOWIECKIE,2018,0,14686.0
OPOLSKIE,2018,0,-691.0
PODKARPACKIE,2018,0,-3119.0
PODLASKIE,2018,0,-2281.0
POMORSKIE,2018,0,4920.0
ŚLĄSKIE,2018,0,-4231.0
MAŁOPOLSKIE,2018,0,4842.0
WIELKOPOLSKIE,2019,0,1203.0
ŚLĄSKIE,2019,0,-4275.0
POMORSKIE,2019,0,5953.0
PODLASKIE,2019,0,-2459.0
PODKARPACKIE,2019,0,-3462.0
OPOLSKIE,2019,0,-1007.0
MAZOWIECKIE,2019,0,15777.0
ZACHODNIOPOMORSKIE,2019,0,-884.0
MAŁOPOLSKIE,2019,0,5914.0
LUBUSKIE,2019,0,-1245.0
LUBELSKIE,2019,0,-6495.0
KUJAWSKO-POMORSKIE,2019,0,-2921.0
DOLNOŚLĄSKIE,2019,0,4215.0
POLSKA,2019,0,0.0
ŁÓDZKIE,2019,0,-2824.0
WARMIŃSKO-MAZURSKIE,2019,0,-3771.0
ŚWIĘTOKRZYSKIE,2019,0,-3719.0
KUJAWSKO-POMORSKIE,2020,0,-2112.0
DOLNOŚLĄSKIE,2020,0,3295.0
POLSKA,2020,0,0.0
LUBELSKIE,2020,0,-4685.0
LUBUSKIE,2020,0,-842.0
MAŁOPOLSKIE,2020,0,3412.0
ŁÓDZKIE,2020,0,-1812.0
WIELKOPOLSKIE,2020,0,1491.0
MAZOWIECKIE,2020,0,10448.0
OPOLSKIE,2020,0,-747.0
PODKARPACKIE,2020,0,-2226.0
PODLASKIE,2020,0,-1702.0
POMORSKIE,2020,0,3825.0
ŚLĄSKIE,2020,0,-3342.0
ŚWIĘTOKRZYSKIE,2020,0,-2143.0
WARMIŃSKO-MAZURSKIE,2020,0,-2113.0
ZACHODNIOPOMORSKIE,2020,0,-747.0
MAŁOPOLSKIE,2021,0,4112.0
ŁÓDZKIE,2021,0,-2282.0
LUBUSKIE,2021,0,-1068.0
LUBELSKIE,2021,0,-5021.0
DOLNOŚLĄSKIE,2021,0,3305.0
POLSKA,2021,0,0.0
MAZOWIECKIE,2021,0,10834.0
KUJAWSKO-POMORSKIE,2021,0,-2204.0
OPOLSKIE,2021,0,-764.0
PODKARPACKIE,2021,0,-2197.0
PODLASKIE,2021,0,-1657.0
WARMIŃSKO-MAZURSKIE,2021,0,-2391.0
WIELKOPOLSKIE,2021,0,1799.0
ŚWIĘTOKRZYSKIE,2021,0,-2421.0
ŚLĄSKIE,2021,0,-3690.0
POMORSKIE,2021,0,4591.0
ZACHODNIOPOMORSKIE,2021,0,-946.0
WARMIŃSKO-MAZURSKIE,2022,0,-2067.0
ŚWIĘTOKRZYSKIE,2022,0,-2270.0
ŚLĄSKIE,2022,0,-3592.0
POMORSKIE,2022,0,4047.0
PODLASKIE,2022,0,-1526.0
PODKARPACKIE,2022,0,-2228.0
OPOLSKIE,2022,0,-732.0
MAŁOPOLSKIE,2022,0,3553.0
ŁÓDZKIE,2022,0,-1649.0
LUBUSKIE,2022,0,-861.0
LUBELSKIE,2022,0,-4686.0
KUJAWSKO-POMORSKIE,2022,0,-1746.0
DOLNOŚLĄSKIE,2022,0,3695.0
POLSKA,2022,0,0.0
WIELKOPOLSKIE,2022,0,1271.0
ZACHODNIOPOMORSKIE,2022,0,-577.0
MAZOWIECKIE,2022,0,9368.0
DOLNOŚLĄSKIE,2023,0,3617.0
POLSKA,2023,0,0.0
LUBUSKIE,2023,0,-753.0
ŁÓDZKIE,2023,0,-2099.0
MAŁOPOLSKIE,2023,0,3800.0
MAZOWIECKIE,2023,0,10217.0
OPOLSKIE,2023,0,-954.0
PODKARPACKIE,2023,0,-2664.0
PODLASKIE,2023,0,-1844.0
POMORSKIE,2023,0,4382.0
ŚLĄSKIE,2023,0,-2611.0
ŚWIĘTOKRZYSKIE,2023,0,-2766.0
WARMIŃSKO-MAZURSKIE,2023,0,-2203.0
WIELKOPOLSKIE,2023,0,1500.0
ZACHODNIOPOMORSKIE,2023,0,-799.0
KUJAWSKO-POMORSKIE,2023,0,-2116.0
LUBELSKIE,2023,0,-4707.0
WIELKOPOLSKIE,2024,0,1383.0
WARMIŃSKO-MAZURSKIE,2024,0,-2433.0
ŚWIĘTOKRZYSKIE,2024,0,-2755.0
ŚLĄSKIE,2024,0,-2883.0
POMORSKIE,2024,0,4869.0
PODLASKIE,2024,0,-1858.0
PODKARPACKIE,2024,0,-2829.0
OPOLSKIE,2024,0,-783.0
MAZOWIECKIE,2024,0,10289.0
MAŁOPOLSKIE,2024,0,4043.0
ŁÓDZKIE,2024,0,-1809.0
LUBUSKIE,2024,0,-1034.0
LUBELSKIE,2024,0,-5194.0
KUJAWSKO-POMORSKIE,2024,0,-1989.0
DOLNOŚLĄSKIE,2024,0,3579.0
POLSKA,2024,0,0.0
ZACHODNIOPOMORSKIE,2024,0,-596.0
